input,target
action: continue distance: 32 steps,Walk straight for 32 steps.
action: continue distance: 38 steps landmark: food court,Walk straight for 38 steps to arrive at the food court.
action: continue distance: 42 steps landmark: food court,Continue forward for 42 steps to reach the food court.
action: continue distance: 48 steps landmark: food court,Walk 48 steps forward to the food court entrance.
action: continue distance: 52 steps landmark: food court,Proceed straight for 52 steps. The food court is ahead.
action: continue distance: 58 steps landmark: food court,Walk ahead for 58 steps. You will be at the food court.
action: stop landmark: food court,Stop. You have reached the entrance to the food court.
action: stop landmark: food court,Stop here. The food court is directly ahead.
action: stop landmark: food court,You have reached your destination. Stop at the food court.
action: stop landmark: food court,Arrival at the food court. Please stop here.
action: stop landmark: food court,Stop walking. You are at the food court entrance.
action: continue distance: 65 steps,Walk straight for 65 steps.
action: continue distance: 75 steps,Continue forward for 75 steps.
action: continue distance: 85 steps,Keep walking straight for 85 steps.
action: continue distance: 95 steps,Walk ahead for 95 steps.
action: continue distance: 105 steps,Proceed straight for 105 steps.
action: continue distance: 8 steps landmark: food court,Walk straight for 8 steps. The food court is directly in front of you.
action: continue distance: 12 steps landmark: food court,Continue forward for 12 steps to reach the food court.
action: continue distance: 17 steps landmark: food court,Walk 17 steps forward to the food court entrance.
action: continue distance: 23 steps landmark: food court,Proceed straight for 23 steps. The food court is ahead.
action: continue distance: 27 steps landmark: food court,Walk ahead for 27 steps to reach the food court entrance.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: continue distance: 20 steps,Continue forward for 20 steps.
action: turn direction: left distance: 6 steps,"In 6 steps, turn left."
action: continue distance: 45 steps,Walk straight for 45 steps.
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: continue distance: 8 steps landmark: ATM,Walk forward 8 steps. The ATM is in front of you.
action: stop landmark: ATM,Stop here. You have reached the ATM.
action: continue distance: 15 steps,Continue straight for 15 steps.
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: continue distance: 35 steps,Walk straight for 35 steps.
action: turn direction: right distance: 4 steps,"In 4 steps, turn right."
action: continue distance: 60 steps,Walk straight for 60 steps.
action: continue distance: 5 steps landmark: ATM,Continue forward 5 steps to the ATM.
action: stop landmark: ATM,You have reached the ATM. Stop here.
action: continue distance: 12 steps,Walk forward 12 steps.
action: turn direction: right distance: 18 steps,"In 18 steps, turn right."
action: continue distance: 25 steps,Continue straight for 25 steps.
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: continue distance: 55 steps,Walk straight for 55 steps.
action: continue distance: 14 steps landmark: ATM,Take 14 steps forward to reach the ATM.
action: stop landmark: ATM,Stop. The ATM is directly in front of you.
action: continue distance: 30 steps,Walk straight for 30 steps.
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: continue distance: 40 steps,Continue forward for 40 steps.
action: turn direction: right distance: 22 steps,"In 22 steps, turn right."
action: continue distance: 70 steps,Walk straight for 70 steps.
action: continue distance: 12 steps landmark: ATM,Walk straight for 12 steps to reach the ATM.
action: stop landmark: ATM,The ATM is here. Stop walking.
action: turn direction: right distance: 9 steps,"In 9 steps, turn right."
action: turn direction: left distance: 14 steps,"In 14 steps, turn left."
action: continue distance: 18 steps,Walk forward 18 steps.
action: continue distance: 50 steps,Continue straight for 50 steps.
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: continue distance: 22 steps landmark: ATM,Take 22 steps straight ahead to the ATM.
action: stop landmark: ATM,Destination reached. Stop at the ATM.
action: continue distance: 11 steps,Walk straight for 11 steps.
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: continue distance: 28 steps,Continue straight for 28 steps.
action: continue distance: 65 steps,Walk straight for 65 steps.
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: continue distance: 9 steps landmark: ATM,Walk 9 steps forward to the ATM.
action: stop landmark: ATM,Stop now. You are at the ATM.
action: turn direction: right distance: 40 steps,"In 40 steps, turn right."
action: continue distance: 16 steps,Continue forward for 16 steps.
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: continue distance: 80 steps,Walk straight for 80 steps.
action: continue distance: 6 steps landmark: ATM,Walk forward 6 steps to reach the ATM.
action: stop landmark: ATM,Stop here. The ATM is in front of you.
action: continue distance: 33 steps,Walk straight for 33 steps.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: continue distance: 15 steps,Walk forward for 15 steps.
action: continue distance: 20 steps,Walk straight for 20 steps.
action: continue distance: 25 steps,Continue straight for 25 steps.
action: continue distance: 30 steps,Walk forward for 30 steps.
action: continue distance: 18 steps,Walk straight for 18 steps.
action: continue distance: 22 steps,Continue straight for 22 steps.
action: continue distance: 7 steps,Go forward for 7 steps.
action: continue distance: 40 steps,Walk straight for 40 steps.
action: continue distance: 14 steps,Continue straight for 14 steps.
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 8 steps,"In 8 steps, turn right."
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: left distance: 6 steps,"In 6 steps, turn left."
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: turn direction: left distance: 11 steps,"In 11 steps, turn left."
action: turn direction: right distance: 11 steps,"In 11 steps, turn right."
action: stop landmark: customer service desk,Stop here. You have reached the customer service desk.
action: stop landmark: customer service desk,You have arrived at the customer service desk. Stop now.
action: stop landmark: customer service desk,Stop. The customer service desk is right in front of you.
action: stop landmark: customer service desk,Stop here. The customer service desk is directly ahead.
action: stop landmark: customer service desk,Reached destination. Stop at the customer service desk.
action: stop landmark: customer service desk,Stop. You are at the customer service desk.
action: continue distance: 15 steps landmark: customer service desk,Walk straight for 15 steps to reach the customer service desk.
action: continue distance: 10 steps landmark: customer service desk,Continue straight for 10 steps to the customer service desk.
action: continue distance: 5 steps landmark: customer service desk,Go forward 5 steps to the customer service desk.
action: turn direction: left distance: 4 steps landmark: customer service desk,"In 4 steps, turn left towards the customer service desk."
action: turn direction: right distance: 4 steps landmark: customer service desk,"In 4 steps, turn right towards the customer service desk."
action: turn direction: left distance: 3 steps landmark: customer service desk,"In 3 steps, turn left towards the customer service desk."
action: turn direction: right distance: 3 steps landmark: customer service desk,"In 3 steps, turn right towards the customer service desk."
action: turn direction: left distance: 7 steps landmark: customer service desk,"In 7 steps, turn left towards the customer service desk."
action: turn direction: right distance: 7 steps landmark: customer service desk,"In 7 steps, turn right towards the customer service desk."
action: continue distance: 50 steps,Walk forward for 50 steps.
action: continue distance: 60 steps,Walk straight for 60 steps.
action: turn direction: left distance: 2 steps landmark: customer service desk,"In 2 steps, turn left towards the customer service desk."
action: turn direction: right distance: 2 steps landmark: customer service desk,"In 2 steps, turn right towards the customer service desk."
action: turn direction: left distance: 1 step landmark: customer service desk,"In 1 step, turn left towards the customer service desk."
action: turn direction: right distance: 1 step landmark: customer service desk,"In 1 step, turn right towards the customer service desk."
action: continue distance: 8 steps landmark: customer service desk,Walk forward 8 steps to the customer service desk.
action: continue distance: 3 steps landmark: customer service desk,Walk straight for 3 steps to the customer service desk.
action: stop landmark: customer service desk,Stop. You are now at the customer service desk.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: continue distance: 15 steps,Go forward for 15 steps.
action: continue distance: 20 steps,Continue straight for 20 steps.
action: continue distance: 25 steps,Walk forward 25 steps.
action: continue distance: 30 steps,Keep walking straight for 30 steps.
action: continue distance: 35 steps,Walk straight ahead for 35 steps.
action: continue distance: 40 steps,Continue forward for 40 steps.
action: continue distance: 45 steps,Move straight for 45 steps.
action: continue distance: 50 steps,Walk forward for 50 steps.
action: continue distance: 12 steps,Walk 12 steps straight.
action: continue distance: 18 steps,Go straight for 18 steps.
action: continue distance: 22 steps,Continue straight for 22 steps.
action: continue distance: 28 steps,Walk straight for 28 steps.
action: continue distance: 32 steps,Move forward for 32 steps.
action: continue distance: 5 steps,Walk forward 5 steps.
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: left distance: 6 steps,"In 6 steps, turn left."
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: right distance: 18 steps,"In 18 steps, turn right."
action: turn direction: left distance: 4 steps,"In 4 steps, turn left."
action: continue distance: 10 steps landmark: pharmacy,Walk 10 steps straight to the pharmacy.
action: continue distance: 15 steps landmark: pharmacy,Continue straight for 15 steps to reach the pharmacy.
action: continue distance: 20 steps landmark: pharmacy,Walk straight for 20 steps to the pharmacy.
action: continue distance: 25 steps landmark: pharmacy,Continue forward for 25 steps to reach the pharmacy.
action: continue distance: 30 steps landmark: pharmacy,Walk 30 steps forward to the pharmacy.
action: continue distance: 5 steps landmark: pharmacy,Go forward 5 steps to reach the pharmacy.
action: continue distance: 8 steps landmark: pharmacy,Walk straight for 8 steps to the pharmacy.
action: continue distance: 12 steps landmark: pharmacy,Continue for 12 steps to reach the pharmacy.
action: continue distance: 18 steps landmark: pharmacy,Walk 18 steps straight to the pharmacy.
action: continue distance: 22 steps landmark: pharmacy,Go forward for 22 steps to the pharmacy.
action: stop landmark: pharmacy,Stop here. You have reached the pharmacy.
action: stop landmark: pharmacy,You have arrived at the pharmacy. Please stop.
action: stop landmark: pharmacy,Stop now. The pharmacy is directly in front of you.
action: stop landmark: pharmacy,Arrived at the pharmacy. Stop walking.
action: stop landmark: pharmacy,The pharmacy is here. Stop.
action: stop landmark: pharmacy,Stop. You are at the pharmacy entrance.
action: stop landmark: pharmacy,Destination reached. Stop at the pharmacy.
action: stop landmark: pharmacy,Stop. You have reached the pharmacy.
action: stop landmark: pharmacy,You are at the pharmacy. Please stop.
action: stop landmark: pharmacy,Stop here. You are at the pharmacy.
action: exit direction: straight distance: 3 steps landmark: escalator,Step off the escalator and walk forward for 3 steps.
action: exit direction: straight distance: 2 steps landmark: escalator,Exit the escalator and walk straight for 2 steps.
action: exit direction: straight distance: 4 steps landmark: escalator,Step off the escalator and take 4 steps ahead.
action: exit direction: straight distance: 5 steps landmark: escalator,Walk 5 steps forward as you exit the escalator.
action: exit direction: straight distance: 1 step landmark: escalator,Step off the escalator and take 1 step forward.
action: exit direction: straight distance: 6 steps landmark: escalator,Exit the escalator and walk for 6 steps.
action: exit direction: straight distance: 2 steps landmark: escalator,Take 2 steps straight off the escalator.
action: exit direction: straight distance: 3 steps landmark: escalator,Step off the escalator and move forward 3 steps.
action: exit direction: straight distance: 4 steps landmark: escalator,Exit the escalator and take 4 steps straight.
action: exit direction: straight distance: 5 steps landmark: escalator,Walk forward for 5 steps after exiting the escalator.
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: right distance: 3 steps,"In 3 steps, turn right."
action: turn direction: right distance: 4 steps,"In 4 steps, turn right."
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: turn direction: right distance: 2 steps,"In 2 steps, turn right."
action: turn direction: right distance: 8 steps,"In 8 steps, turn right."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: right distance: 4 steps,"In 4 steps, turn right."
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: continue distance: 5 steps landmark: bookstore,Continue straight for 5 steps to reach the bookstore.
action: continue distance: 10 steps landmark: bookstore,Walk straight for 10 steps to the bookstore.
action: continue distance: 8 steps landmark: bookstore,Walk 8 steps forward to the bookstore.
action: continue distance: 6 steps landmark: bookstore,Continue forward for 6 steps. The bookstore is ahead.
action: continue distance: 12 steps landmark: bookstore,Walk forward for 12 steps to reach the bookstore.
action: continue distance: 4 steps landmark: bookstore,Take 4 steps forward to the bookstore.
action: continue distance: 7 steps landmark: bookstore,Continue straight for 7 steps to the bookstore.
action: continue distance: 9 steps landmark: bookstore,Walk forward for 9 steps until you reach the bookstore.
action: continue distance: 11 steps landmark: bookstore,Continue straight for 11 steps toward the bookstore.
action: continue distance: 3 steps landmark: bookstore,Walk 3 steps forward to reach the bookstore.
action: stop landmark: bookstore,Stop here. You have reached the bookstore.
action: stop landmark: bookstore,Stop. The bookstore is directly in front of you.
action: stop landmark: bookstore,You have arrived at the bookstore. Please stop.
action: stop landmark: bookstore,Stop walking. You are at the bookstore entrance.
action: stop landmark: bookstore,Stop now. The bookstore is at your current location.
action: stop landmark: bookstore,Halt. You have reached the bookstore.
action: stop landmark: bookstore,Stop. The bookstore is right here.
action: stop landmark: bookstore,You are at the bookstore. Stop here.
action: stop landmark: bookstore,Arrival at bookstore. Please stop.
action: stop landmark: bookstore,"Stop. You have reached your destination, the bookstore."
action: turn direction: right distance: 10 steps landmark: bookstore,"In 10 steps, turn right towards the bookstore."
action: turn direction: right distance: 12 steps landmark: bookstore,"In 12 steps, turn right towards the bookstore."
action: turn direction: right distance: 15 steps landmark: bookstore,"In 15 steps, turn right towards the bookstore."
action: turn direction: right distance: 8 steps landmark: bookstore,"In 8 steps, turn right towards the bookstore."
action: turn direction: right distance: 9 steps landmark: bookstore,"In 9 steps, turn right towards the bookstore."
action: exit direction: straight distance: 5 steps landmark: escalator,Exit the escalator and walk for 5 steps.
action: continue distance: 15 steps landmark: bookstore,Continue straight for 15 steps to reach the bookstore.
action: continue distance: 13 steps landmark: bookstore,Walk 13 steps forward to the bookstore.
action: continue distance: 14 steps landmark: bookstore,Continue forward for 14 steps to the bookstore.
action: stop landmark: bookstore,Stop. You have arrived at the bookstore.
action: board direction: down landmark: escalator,Step onto the escalator going down.
action: board direction: down landmark: escalator,Board the downward escalator.
action: board direction: down landmark: escalator,Take the escalator to the floor below.
action: board direction: down landmark: escalator,Step onto the descending escalator.
action: board direction: down landmark: escalator,Get on the escalator moving down.
action: board direction: down landmark: escalator,Step forward onto the down escalator.
action: board direction: down landmark: escalator,Proceed onto the downward escalator.
action: board direction: down landmark: escalator,Step onto the escalator to go down.
action: board direction: down landmark: escalator,Please board the escalator going down.
action: board direction: down landmark: escalator,Enter the downward escalator.
action: exit direction: straight distance: 5 steps landmark: escalator,Step off the escalator and walk forward 5 steps.
action: exit direction: straight distance: 10 steps landmark: escalator,Exit the escalator and walk straight for 10 steps.
action: exit direction: straight distance: 3 steps landmark: escalator,Step off the escalator and walk straight for 3 steps.
action: exit direction: straight distance: 8 steps landmark: escalator,Get off the escalator and walk forward 8 steps.
action: exit direction: straight distance: 12 steps landmark: escalator,Exit the escalator and walk straight for 12 steps.
action: exit direction: straight distance: 6 steps landmark: escalator,Step off the escalator and walk 6 steps straight ahead.
action: exit direction: straight distance: 4 steps landmark: escalator,Exit and walk forward for 4 steps.
action: exit direction: straight distance: 7 steps landmark: escalator,Step off the escalator and walk forward for 7 steps.
action: exit direction: straight distance: 9 steps landmark: escalator,Get off the escalator and walk 9 steps forward.
action: exit direction: straight distance: 15 steps landmark: escalator,Exit the escalator and walk straight for 15 steps.
action: continue distance: 5 steps,Continue straight for 5 steps.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: continue distance: 15 steps,Walk forward for 15 steps.
action: continue distance: 20 steps,Continue forward for 20 steps.
action: continue distance: 7 steps,Walk straight for 7 steps.
action: continue distance: 12 steps,Continue straight for 12 steps.
action: continue distance: 8 steps,Walk straight for 8 steps.
action: continue distance: 14 steps,Continue forward for 14 steps.
action: continue distance: 18 steps,Walk forward for 18 steps.
action: continue distance: 25 steps,Continue straight for 25 steps.
action: continue distance: 30 steps,Walk forward for 30 steps.
action: continue distance: 4 steps,Continue straight for 4 steps.
action: continue distance: 6 steps,Walk straight for 6 steps.
action: continue distance: 11 steps,Continue forward for 11 steps.
action: continue distance: 13 steps,Walk straight for 13 steps.
action: continue distance: 16 steps,Continue straight for 16 steps.
action: continue distance: 2 steps,Walk forward for 2 steps.
action: continue distance: 22 steps,Continue straight for 22 steps.
action: continue distance: 19 steps,Walk forward for 19 steps.
action: continue distance: 28 steps,Continue straight for 28 steps.
action: exit direction: straight distance: 11 steps landmark: escalator,Step off the escalator and walk forward 11 steps.
action: exit direction: straight distance: 2 steps landmark: escalator,Exit the escalator and walk forward for 2 steps.
action: exit direction: straight distance: 20 steps landmark: escalator,Get off the escalator and walk straight for 20 steps.
action: exit direction: straight distance: 18 steps landmark: escalator,Step off the escalator and walk 18 steps straight.
action: exit direction: straight distance: 13 steps landmark: escalator,Exit the escalator and walk straight for 13 steps.
action: board direction: down landmark: escalator,Step onto the escalator to descend.
action: board direction: down landmark: escalator,Please board the downward escalator.
action: board direction: down landmark: escalator,Take the escalator to the lower floor.
action: exit direction: straight distance: 1 step landmark: escalator,Step off the escalator and walk forward for 1 step.
action: continue distance: 3 steps,Walk straight for 3 steps.
action: continue distance: 15 steps,Walk straight for 15 steps.
action: continue distance: 60 steps,Walk straight for 60 steps.
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: stop landmark: escalator,Stop. The escalator is directly in front of you.
action: board direction: up landmark: escalator,Board the escalator going up.
action: exit direction: straight distance: 5 steps landmark: Nike,Exit the escalator and walk 5 steps straight to Nike.
action: continue distance: 40 steps,Continue straight for 40 steps.
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: continue distance: 10 steps,Continue forward for 10 steps.
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: stop landmark: escalator,Stop here at the base of the escalator.
action: board direction: up landmark: escalator,Step onto the escalator to travel up.
action: exit direction: left distance: 15 steps landmark: Cinema,Exit the escalator and turn left for 15 steps to the Cinema.
action: continue distance: 35 steps,Walk forward for 35 steps.
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: continue distance: 55 steps,Continue straight for 55 steps.
action: stop landmark: escalator,Stop. You have reached the escalator.
action: board direction: up landmark: escalator,Step onto the upward moving escalator.
action: exit direction: right distance: 10 steps landmark: Apple Store,Exit the escalator and walk 10 steps right to the Apple Store.
action: continue distance: 12 steps,Walk straight for 12 steps.
action: turn direction: left distance: 40 steps,"In 40 steps, turn left."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: stop landmark: escalator,Stop. The escalator is in front of you.
action: board direction: up landmark: escalator,Board the escalator to reach the second floor.
action: exit direction: straight distance: 30 steps landmark: H&M,Exit the escalator and walk 30 steps straight to H&M.
action: continue distance: 22 steps,Continue forward for 22 steps.
action: turn direction: right distance: 50 steps,"In 50 steps, turn right."
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: stop landmark: escalator,Stop here. You are at the escalator.
action: board direction: up landmark: escalator,Step onto the escalator.
action: exit direction: left distance: 8 steps landmark: washroom,Exit the escalator and turn left for 8 steps to the washroom.
action: continue distance: 45 steps,Walk straight for 45 steps.
action: turn direction: right distance: 25 steps,"In 25 steps, turn right."
action: continue distance: 70 steps,Continue forward for 70 steps.
action: stop landmark: escalator,Stop. The escalator is ahead.
action: board direction: up landmark: escalator,Get on the escalator going up.
action: exit direction: straight distance: 12 steps landmark: Lego Store,Exit the escalator and walk 12 steps to the Lego Store.
action: continue distance: 18 steps,Walk straight for 18 steps.
action: turn direction: left distance: 22 steps,"In 22 steps, turn left."
action: turn direction: right distance: 33 steps,"In 33 steps, turn right."
action: stop landmark: escalator,Stop at the escalator.
action: board direction: up landmark: escalator,Step onto the escalator to go up.
action: exit direction: right distance: 40 steps landmark: bookstore,Exit the escalator and walk 40 steps right to the bookstore.
action: continue distance: 100 steps,Walk straight for 100 steps.
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: stop landmark: escalator,Stop. You have arrived at the escalator.
action: board direction: up landmark: escalator,Board the escalator now.
action: exit direction: straight distance: 25 steps landmark: Sephora,Exit the escalator and walk 25 steps straight to Sephora.
action: exit direction: straight distance: 5 steps landmark: escalator,Exit the escalator and walk forward for 5 steps.
action: exit direction: straight distance: 3 steps landmark: escalator,Step off the escalator and walk straight for 3 steps.
action: exit direction: straight distance: 8 steps landmark: escalator,Exit the escalator and take 8 steps forward.
action: exit direction: straight distance: 10 steps landmark: escalator,Step off the escalator and continue straight for 10 steps.
action: exit direction: straight distance: 4 steps landmark: escalator,Exit the escalator and walk straight for 4 steps.
action: exit direction: straight distance: 6 steps landmark: escalator,Step off the escalator and walk forward for 6 steps.
action: exit direction: straight distance: 2 steps landmark: escalator,Exit the escalator and take 2 steps forward.
action: exit direction: straight distance: 7 steps landmark: escalator,Step off the escalator and walk 7 steps straight ahead.
action: exit direction: straight distance: 9 steps landmark: escalator,Exit the escalator and walk for 9 steps.
action: exit direction: straight distance: 5 steps landmark: escalator,Step off the escalator and take 5 steps.
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: right distance: 18 steps,"In 18 steps, turn right."
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: turn direction: right distance: 25 steps,"In 25 steps, turn right."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 30 steps,"In 30 steps, turn right."
action: turn direction: left distance: 22 steps,"In 22 steps, turn left."
action: turn direction: right distance: 14 steps,"In 14 steps, turn right."
action: continue distance: 40 steps,Continue straight for 40 steps.
action: continue distance: 25 steps,Walk straight for 25 steps.
action: continue distance: 50 steps,Continue forward for 50 steps.
action: continue distance: 15 steps,Take 15 steps straight ahead.
action: continue distance: 30 steps,Continue straight for 30 steps.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: continue distance: 20 steps,Take 20 steps forward.
action: continue distance: 35 steps,Continue straight for 35 steps.
action: continue distance: 45 steps,Walk straight for 45 steps.
action: continue distance: 12 steps,Continue forward for 12 steps.
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: turn direction: right distance: 22 steps,"In 22 steps, turn right."
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: continue distance: 15 steps landmark: food court,Continue straight for 15 steps to the food court.
action: continue distance: 10 steps landmark: food court,Walk straight for 10 steps to reach the food court.
action: continue distance: 5 steps landmark: food court,Walk forward for 5 steps to the food court.
action: continue distance: 8 steps landmark: food court,Take 8 steps forward to the food court.
action: stop landmark: food court,Stop here. You have reached the food court.
action: stop landmark: food court,You have arrived at the food court. Stop here.
action: stop landmark: food court,The food court is directly in front of you. Stop here.
action: stop landmark: food court,Stop walking. You are at the food court.
action: stop landmark: food court,Destination reached. Stop at the food court.
action: stop landmark: food court,"You have reached your destination, the food court."
action: continue distance: 10 steps landmark: escalator,Walk straight for 10 steps to the escalator.
action: board direction: down landmark: escalator,Step onto the descending escalator.
action: exit direction: straight distance: 5 steps landmark: escalator,Step off the escalator and walk forward 5 steps.
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: continue distance: 20 steps,Continue straight for 20 steps.
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: continue distance: 15 steps landmark: escalator,Walk forward for 15 steps to reach the next escalator.
action: board direction: down landmark: escalator,Board the next downward escalator.
action: exit direction: straight distance: 6 steps landmark: escalator,Exit the escalator and walk straight for 6 steps.
action: stop landmark: entrance,Stop here. You have reached the main entrance.
action: continue distance: 5 steps landmark: escalator,Walk forward 5 steps to the escalator.
action: board direction: down landmark: escalator,Get on the escalator going down.
action: exit direction: straight distance: 10 steps landmark: escalator,Exit the escalator and walk 10 steps forward.
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: continue distance: 10 steps,Walk straight for 10 steps.
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: continue distance: 12 steps landmark: escalator,Walk forward 12 steps to the second escalator.
action: board direction: down landmark: escalator,Step onto the escalator to go down to the ground floor.
action: exit direction: straight distance: 4 steps landmark: escalator,Step off the escalator and walk 4 steps straight.
action: stop landmark: entrance,You have reached the entrance. Stop here.
action: continue distance: 8 steps landmark: escalator,Walk 8 steps forward to the descending escalator.
action: board direction: down landmark: escalator,Board the escalator to descend.
action: exit direction: straight distance: 7 steps landmark: escalator,Exit onto the second floor and walk forward 7 steps.
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: continue distance: 25 steps,Continue forward for 25 steps.
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: continue distance: 9 steps landmark: escalator,Walk 9 steps forward to the final escalator.
action: board direction: down landmark: escalator,Step onto the second downward escalator.
action: exit direction: straight distance: 12 steps landmark: escalator,Exit the escalator and walk 12 steps forward.
action: stop landmark: entrance,Stop here. You are at the entrance.
action: continue distance: 14 steps landmark: escalator,Walk forward 14 steps to reach the escalator.
action: board direction: down landmark: escalator,Board the escalator going down to the next level.
action: exit direction: straight distance: 3 steps landmark: escalator,Step off the escalator and move forward 3 steps.
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: continue distance: 11 steps landmark: escalator,Continue forward 11 steps to the downward escalator.
action: board direction: down landmark: escalator,Step onto the escalator descending to the ground floor.
action: exit direction: straight distance: 9 steps landmark: escalator,Exit the escalator and walk forward 9 steps.
action: continue distance: 15 steps landmark: entrance,Walk forward 15 steps to the main entrance.
action: stop landmark: entrance,Arrival at the main entrance. Stop now.
action: continue distance: 7 steps landmark: escalator,Walk 7 steps straight to the escalator.
action: board direction: down landmark: escalator,Take the escalator down.
action: exit direction: straight distance: 8 steps landmark: escalator,Step off the escalator and walk 8 steps ahead.
action: turn direction: right distance: 22 steps,"In 22 steps, turn right."
action: continue distance: 6 steps landmark: escalator,Walk forward 6 steps to the next escalator.
action: board direction: down landmark: escalator,Board the escalator heading down to the ground level.
action: exit direction: straight distance: 5 steps landmark: escalator,Exit the escalator and walk 5 steps straight ahead.
action: continue distance: 10 steps landmark: entrance,Continue forward for 10 steps to the entrance.
action: stop landmark: entrance,You have arrived at the destination. Stop here.
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: board direction: up landmark: elevator,Step into the elevator and go up to the second floor.
action: board direction: up landmark: elevator,Enter the elevator to travel from the basement to the second floor.
action: board direction: up landmark: elevator,Board the elevator and select the button for the second floor.
action: board direction: up landmark: elevator,Take the elevator up to the second floor.
action: board direction: up landmark: elevator,Use the elevator to go from the basement level to the second floor.
action: exit direction: straight distance: 5 steps landmark: elevator,Exit the elevator and walk straight for 5 steps.
