input,target
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: continue distance: 15 steps landmark: elevator,"Walk straight for 15 steps to the elevator doors."
action: board direction: down landmark: elevator,"Step onto the elevator to go down."
action: exit direction: straight distance: 7 steps landmark: elevator,"Exit the elevator and walk 7 steps straight ahead."
action: continue distance: 35 steps landmark: food court,"Walk straight for 35 steps to the food court."
action: stop landmark: elevator,"Stop at the elevator."
action: board direction: down landmark: elevator,"Enter the elevator and go to the basement level."
action: exit direction: straight distance: 4 steps landmark: elevator,"Exit and walk forward 4 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: continue distance: 10 steps landmark: washroom,"Walk straight for 10 steps to reach the washroom."
action: continue distance: 22 steps,"Walk forward for 22 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk for 9 steps."
action: continue distance: 6 steps landmark: elevator,"Take 6 steps forward to the elevator."
action: board direction: down landmark: elevator,"Step into the elevator and select the basement level."
action: exit direction: straight distance: 8 steps landmark: elevator,"Walk out and go straight for 8 steps."
action: turn direction: left distance: 14 steps landmark: cinema,"Turn left and walk 14 steps to reach the cinema."
action: stop landmark: elevator,"Stop. The elevator is directly ahead."
action: board direction: down landmark: elevator,"Get into the elevator and descend to the basement."
action: exit direction: straight distance: 2 steps landmark: elevator,"Step out and take 2 steps forward."
action: continue distance: 50 steps landmark: Zara,"Walk straight for 50 steps to reach Zara."
action: continue distance: 11 steps,"Walk straight for 11 steps."
action: turn direction: left distance: 7 steps,"Turn left and walk 7 steps."
action: continue distance: 13 steps landmark: elevator,"Walk 13 steps to the elevator."
action: board direction: down landmark: elevator,"Step in the elevator and go down."
action: exit direction: straight distance: 9 steps landmark: elevator,"Walk out of the elevator and continue straight for 9 steps."
action: turn direction: right distance: 18 steps landmark: pharmacy,"Turn right and walk 18 steps to the pharmacy."
action: stop landmark: elevator,"Stop here at the elevator door."
action: board direction: down landmark: elevator,"Board the elevator to reach the basement level."
action: exit direction: straight distance: 12 steps landmark: elevator,"Exit the elevator and walk forward for 12 steps."
action: stop landmark: information desk,"Stop. You have arrived at the information desk."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: continue distance: 25 steps,"Continue forward for 25 steps."
action: continue distance: 50 steps,"Keep walking straight for 50 steps."
action: continue distance: 15 steps,"Walk forward for 15 steps."
action: continue distance: 30 steps,"Go straight for 30 steps."
action: continue distance: 40 steps,"Continue straight for 40 steps."
action: turn direction: left distance: 5 steps,"Turn left and take 5 steps."
action: turn direction: right distance: 8 steps,"Turn right and walk for 8 steps."
action: turn direction: left distance: 12 steps,"Make a left turn and walk 12 steps."
action: turn direction: right distance: 10 steps,"Turn right and take 10 steps."
action: turn direction: left distance: 4 steps,"Turn left and walk 4 steps."
action: turn direction: right distance: 6 steps,"Make a right turn and walk 6 steps."
action: stop landmark: elevator,"Stop here at the elevator."
action: continue distance: 12 steps landmark: elevator,"Walk straight for 12 steps to reach the elevator."
action: continue distance: 20 steps landmark: elevator,"Continue forward for 20 steps until you reach the elevator."
action: continue distance: 5 steps landmark: elevator,"Walk forward 5 steps to the elevator."
action: turn direction: left distance: 10 steps landmark: elevator,"Turn left and walk 10 steps to the elevator."
action: turn direction: right distance: 15 steps landmark: elevator,"Turn right and walk 15 steps to the elevator."
action: board direction: up landmark: elevator,"Enter the elevator and go up to the next floor."
action: board direction: up landmark: elevator,"Step into the elevator and select the up button."
action: board direction: up landmark: elevator,"Board the elevator to go up one level."
action: board direction: up landmark: elevator,"Get into the elevator and move up one floor."
action: board direction: up landmark: elevator,"Enter the elevator and travel up."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: straight distance: 10 steps landmark: elevator,"Step out of the elevator and walk forward 10 steps."
action: exit direction: straight distance: 3 steps landmark: elevator,"Move out of the elevator and take 3 steps forward."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and continue straight for 8 steps."
action: exit direction: straight distance: 12 steps landmark: elevator,"Walk straight out of the elevator for 12 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: turn direction: right distance: 25 steps,"Turn right and walk for 25 steps."
action: turn direction: left distance: 15 steps,"Make a left turn and walk 15 steps."
action: turn direction: right distance: 30 steps,"Turn right and walk for 30 steps."
action: continue distance: 35 steps,"Continue straight for 35 steps."
action: continue distance: 45 steps,"Walk straight for 45 steps."
action: continue distance: 22 steps,"Keep walking forward for 22 steps."
action: turn direction: left distance: 7 steps,"Turn left and walk 7 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk 9 steps."
action: continue distance: 18 steps landmark: restaurant,"Walk straight for 18 steps to the restaurant."
action: continue distance: 28 steps landmark: restaurant,"Continue forward for 28 steps toward the restaurant."
action: continue distance: 10 steps landmark: restaurant,"Walk forward 10 steps to reach the restaurant."
action: continue distance: 40 steps landmark: restaurant,"Walk straight for 40 steps until you reach the restaurant."
action: turn direction: left distance: 5 steps landmark: restaurant,"Turn left and walk 5 steps to the restaurant."
action: turn direction: right distance: 12 steps landmark: restaurant,"Turn right and walk 12 steps to the restaurant."
action: turn direction: left distance: 8 steps landmark: restaurant,"Make a left turn and walk 8 steps to reach the restaurant."
action: turn direction: right distance: 4 steps landmark: restaurant,"Turn right and walk 4 steps to reach the restaurant."
action: stop landmark: restaurant,"Stop here. You have reached the restaurant."
action: stop landmark: restaurant,"You have arrived at the restaurant. Please stop."
action: stop landmark: restaurant,"Stop. The restaurant is directly in front of you."
action: stop landmark: restaurant,"You are at the restaurant entrance. Stop here."
action: stop landmark: restaurant,"Destination reached. Stop at the restaurant."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: exit direction: left distance: 3 steps landmark: elevator,"Exit the elevator and turn left for 3 steps."
action: exit direction: right distance: 3 steps landmark: elevator,"Exit the elevator and turn right for 3 steps."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and walk forward for 8 steps."
action: exit direction: left distance: 5 steps landmark: elevator,"Step out of the elevator and walk 5 steps to your left."
action: exit direction: right distance: 5 steps landmark: elevator,"Step out of the elevator and walk 5 steps to your right."
action: exit direction: straight distance: 10 steps landmark: elevator,"Exit the elevator and continue straight for 10 steps."
action: exit direction: left distance: 2 steps landmark: elevator,"Exit the elevator and take 2 steps to the left."
action: exit direction: right distance: 2 steps landmark: elevator,"Exit the elevator and take 2 steps to the right."
action: exit direction: straight distance: 4 steps landmark: elevator,"Exit the elevator and move forward 4 steps."
action: turn direction: left distance: 4 steps,"Turn left and walk for 4 steps."
action: turn direction: right distance: 4 steps,"Turn right and walk for 4 steps."
action: turn direction: left distance: 6 steps,"Make a left turn and take 6 steps."
action: turn direction: right distance: 6 steps,"Make a right turn and take 6 steps."
action: turn direction: left distance: 3 steps,"Turn left and walk forward 3 steps."
action: turn direction: right distance: 3 steps,"Turn right and walk forward 3 steps."
action: turn direction: left distance: 5 steps,"Take a left turn and walk for 5 steps."
action: turn direction: right distance: 5 steps,"Take a right turn and walk for 5 steps."
action: turn direction: left distance: 2 steps,"Turn left and take 2 steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 steps."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: continue distance: 15 steps,"Continue straight for 15 steps."
action: continue distance: 8 steps,"Walk forward for 8 steps."
action: continue distance: 12 steps,"Keep walking straight for 12 steps."
action: continue distance: 20 steps,"Continue forward for 20 steps."
action: turn direction: left distance: 5 steps,"Turn left and walk 5 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: turn direction: left distance: 3 steps,"Make a left turn and walk for 3 steps."
action: turn direction: right distance: 3 steps,"Make a right turn and walk for 3 steps."
action: turn direction: left distance: 4 steps,"Turn left and take 4 steps."
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: turn direction: left distance: 2 steps,"Turn left and take 2 quick steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 quick steps."
action: continue distance: 10 steps landmark: cinema,"Continue straight for 10 steps toward the cinema."
action: continue distance: 15 steps landmark: cinema,"Walk straight for 15 steps to reach the cinema."
action: continue distance: 5 steps landmark: cinema,"Walk forward for 5 steps to the cinema."
action: continue distance: 8 steps landmark: cinema,"Continue for 8 steps to arrive at the cinema."
action: continue distance: 12 steps landmark: cinema,"Walk forward for 12 steps to reach the cinema entrance."
action: continue distance: 6 steps landmark: cinema,"Take 6 steps forward to reach the cinema."
action: continue distance: 25 steps landmark: cinema,"Continue straight for 25 steps to the cinema."
action: stop landmark: cinema,"Stop. You have reached the cinema."
action: stop landmark: cinema,"Stop here. You have arrived at the cinema."
action: stop landmark: cinema,"Stop. The cinema is directly in front of you."
action: stop landmark: cinema,"Stop walking. You are at the cinema entrance."
action: stop landmark: cinema,"You have reached your destination. Stop here for the cinema."
action: stop landmark: cinema,"Stop. The cinema is right here."
action: stop landmark: cinema,"Arrived at the cinema. Stop here."
action: stop landmark: cinema,"Destination reached. Stop for the cinema."
action: stop landmark: cinema,"Stop walking. The cinema is in front of you."
action: stop landmark: cinema,"Stop here. The cinema entrance is reached."
action: continue distance: 100 steps,"Walk straight for 100 steps."
action: continue distance: 120 steps,"Continue forward for 120 steps."
action: continue distance: 85 steps,"Walk straight for 85 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: turn direction: left distance: 4 steps,"Turn left and take 4 steps."
action: stop landmark: service elevator,"Stop. You have reached the service elevator."
action: board landmark: service elevator,"Step into the service elevator."
action: continue distance: 150 steps,"Walk straight for 150 steps."
action: continue distance: 75 steps,"Continue straight for 75 steps."
action: continue distance: 110 steps,"Take 110 steps straight ahead."
action: turn direction: right distance: 8 steps,"Turn right and walk for 8 steps."
action: stop landmark: service elevator,"Stop here. The service elevator is in front of you."
action: board direction: up landmark: service elevator,"Step onto the service elevator going up."
action: continue distance: 90 steps,"Walk straight for 90 steps."
action: continue distance: 130 steps,"Continue straight for 130 steps."
action: turn direction: left distance: 3 steps,"Turn left and walk for 3 steps."
action: stop landmark: service elevator,"You have arrived at the service elevator. Stop."
action: board direction: down landmark: service elevator,"Step into the service elevator going down."
action: continue distance: 140 steps,"Walk forward for 140 steps."
action: continue distance: 60 steps,"Continue straight for 60 steps."
action: turn direction: right distance: 2 steps,"Turn right and take 2 steps."
action: stop landmark: service elevator,"Stop. The service elevator is directly ahead."
action: board landmark: service elevator,"Board the service elevator."
action: continue distance: 115 steps,"Walk straight for 115 steps."
action: continue distance: 95 steps,"Continue forward for 95 steps."
action: turn direction: left distance: 6 steps,"Turn left and walk for 6 steps."
action: continue distance: 10 steps landmark: service elevator,"Walk straight for 10 steps to reach the service elevator."
action: stop landmark: service elevator,"Stop. You are at the service elevator."
action: board landmark: service elevator,"Enter the service elevator."
action: continue distance: 80 steps,"Walk straight for 80 steps."
action: continue distance: 105 steps,"Continue straight for 105 steps."
action: turn direction: right distance: 10 steps,"Turn right and walk for 10 steps."
action: turn direction: left distance: 2 steps,"Turn left and walk 2 steps."
action: continue distance: 25 steps landmark: service elevator,"Walk 25 steps straight to the service elevator."
action: stop landmark: service elevator,"Stop here for the service elevator."
action: board direction: up landmark: service elevator,"Board the service elevator to go up."
action: continue distance: 125 steps,"Walk straight for 125 steps."
action: continue distance: 70 steps,"Continue forward for 70 steps."
action: turn direction: right distance: 3 steps,"Turn right and walk for 3 steps."
action: stop landmark: service elevator,"Stop. You have reached the service elevator entrance."
action: board landmark: service elevator,"Step inside the service elevator."
action: continue distance: 135 steps,"Walk straight for 135 steps."
action: continue distance: 110 steps,"Continue straight for 110 steps."
action: turn direction: left distance: 5 steps,"Turn left and walk for 5 steps."
action: continue distance: 5 steps landmark: service elevator,"Walk forward 5 steps to the service elevator."
action: stop landmark: service elevator,"Stop at the service elevator."
action: board direction: down landmark: service elevator,"Board the service elevator to go down."
action: continue distance: 145 steps,"Walk straight for 145 steps."
action: turn direction: right distance: 7 steps,"Turn right and walk for 7 steps."
action: stop landmark: service elevator,"You have arrived. Stop at the service elevator."
action: exit direction: straight distance: 5 steps landmark: Zara,"Exit the elevator and walk 5 steps. Zara is directly ahead of you."
action: exit direction: straight distance: 4 steps landmark: Apple Store,"Exit the elevator and walk 4 steps. The Apple Store is straight ahead."
action: exit direction: straight distance: 6 steps landmark: Nike,"Exit the elevator and walk 6 steps. You have arrived at Nike."
action: exit direction: straight distance: 3 steps landmark: Sephora,"Exit the elevator and walk 3 steps. Sephora is directly in front of you."
action: exit direction: straight distance: 7 steps landmark: H&M,"Exit the elevator and walk straight for 7 steps to reach H&M."
action: exit direction: straight distance: 5 steps landmark: Uniqlo,"Exit the elevator and walk 5 steps. Uniqlo is directly ahead."
action: exit direction: straight distance: 8 steps landmark: Starbucks,"Exit the elevator and walk 8 steps to arrive at Starbucks."
action: exit direction: straight distance: 10 steps landmark: Food Court,"Exit the elevator and walk straight for 10 steps. You are at the Food Court."
action: exit direction: straight distance: 4 steps landmark: Adidas,"Exit the elevator and walk 4 steps. Adidas is directly in front of you."
action: exit direction: straight distance: 6 steps landmark: Lego Store,"Exit the elevator and walk 6 steps to reach the Lego Store."
action: exit direction: straight distance: 5 steps landmark: Lush,"Exit the elevator and walk 5 steps. Lush is straight ahead."
action: exit direction: straight distance: 3 steps landmark: Vans,"Exit the elevator and walk 3 steps. You have arrived at Vans."
action: exit direction: straight distance: 7 steps landmark: Pandora,"Exit the elevator and walk 7 steps. Pandora is directly ahead of you."
action: exit direction: straight distance: 4 steps landmark: GameStop,"Exit the elevator and walk 4 steps. GameStop is directly in front of you."
action: exit direction: straight distance: 6 steps landmark: Foot Locker,"Exit the elevator and walk 6 steps to reach Foot Locker."
action: exit direction: straight distance: 5 steps landmark: Lululemon,"Exit the elevator and walk 5 steps. Lululemon is straight ahead."
action: exit direction: straight distance: 8 steps landmark: Old Navy,"Exit the elevator and walk 8 steps. You have reached Old Navy."
action: exit direction: straight distance: 4 steps landmark: Bath & Body Works,"Exit the elevator and walk 4 steps. Bath & Body Works is directly ahead."
action: exit direction: straight distance: 6 steps landmark: Fossil,"Exit the elevator and walk 6 steps. Fossil is directly in front of you."
action: exit direction: straight distance: 5 steps landmark: Sunglass Hut,"Exit the elevator and walk 5 steps to reach Sunglass Hut."
action: exit direction: straight distance: 3 steps landmark: Victoria's Secret,"Exit the elevator and walk 3 steps. Victoria's Secret is straight ahead."
action: exit direction: straight distance: 7 steps landmark: Claire's,"Exit the elevator and walk 7 steps. You are at Claire's."
action: exit direction: straight distance: 4 steps landmark: Skechers,"Exit the elevator and walk 4 steps. Skechers is directly in front of you."
action: exit direction: straight distance: 6 steps landmark: The North Face,"Exit the elevator and walk 6 steps to reach The North Face."
action: exit direction: straight distance: 5 steps landmark: Swarovski,"Exit the elevator and walk 5 steps. Swarovski is directly ahead."
action: exit direction: straight distance: 8 steps landmark: MAC Cosmetics,"Exit the elevator and walk 8 steps. You have reached MAC Cosmetics."
action: exit direction: straight distance: 4 steps landmark: Kiehl's,"Exit the elevator and walk 4 steps. Kiehl's is straight ahead."
action: exit direction: straight distance: 6 steps landmark: Disney Store,"Exit the elevator and walk 6 steps. The Disney Store is directly in front of you."
action: exit direction: straight distance: 5 steps landmark: Build-A-Bear,"Exit the elevator and walk 5 steps to arrive at Build-A-Bear."
action: exit direction: straight distance: 7 steps landmark: Hollister,"Exit the elevator and walk 7 steps. Hollister is directly ahead."
action: exit direction: straight distance: 3 steps landmark: Zumiez,"Exit the elevator and walk 3 steps. You have reached Zumiez."
action: exit direction: straight distance: 5 steps landmark: Hot Topic,"Exit the elevator and walk 5 steps. Hot Topic is directly in front of you."
action: exit direction: straight distance: 6 steps landmark: Spencer's,"Exit the elevator and walk 6 steps to reach Spencer's."
action: exit direction: straight distance: 4 steps landmark: Kay Jewelers,"Exit the elevator and walk 4 steps. Kay Jewelers is straight ahead."
action: exit direction: straight distance: 8 steps landmark: Zales,"Exit the elevator and walk 8 steps. You are at Zales."
action: exit direction: straight distance: 5 steps landmark: GNC,"Exit the elevator and walk 5 steps. GNC is directly ahead."
action: exit direction: straight distance: 6 steps landmark: Vitamin Shoppe,"Exit the elevator and walk 6 steps to reach the Vitamin Shoppe."
action: exit direction: straight distance: 3 steps landmark: Hallmark,"Exit the elevator and walk 3 steps. Hallmark is directly in front of you."
action: exit direction: straight distance: 7 steps landmark: Papyrus,"Exit the elevator and walk 7 steps. You have reached Papyrus."
action: exit direction: straight distance: 4 steps landmark: T-Mobile,"Exit the elevator and walk 4 steps. T-Mobile is straight ahead."
action: exit direction: straight distance: 6 steps landmark: AT&T,"Exit the elevator and walk 6 steps. AT&T is directly in front of you."
action: exit direction: straight distance: 5 steps landmark: Verizon,"Exit the elevator and walk 5 steps to reach Verizon."
action: exit direction: straight distance: 8 steps landmark: Microsoft Store,"Exit the elevator and walk 8 steps. The Microsoft Store is directly ahead."
action: exit direction: straight distance: 4 steps landmark: Bose,"Exit the elevator and walk 4 steps. Bose is straight ahead."
action: exit direction: straight distance: 6 steps landmark: Sony,"Exit the elevator and walk 6 steps. You have arrived at Sony."
action: exit direction: straight distance: 5 steps landmark: Dyson,"Exit the elevator and walk 5 steps. Dyson is directly in front of you."
action: exit direction: straight distance: 7 steps landmark: Tesla Gallery,"Exit the elevator and walk 7 steps. The Tesla Gallery is straight ahead."
action: exit direction: straight distance: 3 steps landmark: Barnes & Noble,"Exit the elevator and walk 3 steps. Barnes & Noble is directly ahead."
action: exit direction: straight distance: 10 steps landmark: Cinema,"Exit the elevator and walk 10 steps. You have reached the Cinema."
action: exit direction: straight distance: 5 steps landmark: Pottery Barn,"Exit the elevator and walk 5 steps. Pottery Barn is directly in front of you."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: continue distance: 50 steps,"Continue straight for 50 steps."
action: continue distance: 65 steps,"Walk straight for another 65 steps."
action: continue distance: 80 steps,"Continue walking straight for 80 steps."
action: continue distance: 100 steps,"Keep walking straight for 100 steps."
action: continue distance: 120 steps,"Continue straight down the corridor for 120 steps."
action: continue distance: 150 steps,"Walk straight for 150 steps."
action: continue distance: 45 steps,"Continue straight for 45 steps."
action: continue distance: 70 steps,"Keep going straight for 70 steps."
action: continue distance: 90 steps,"Continue straight for 90 steps."
action: stop landmark: food court,"Stop here. You have reached the food court."
action: stop landmark: washroom,"Stop. You have arrived at the washroom."
action: stop landmark: Zara,"Stop here. You have reached Zara."
action: stop landmark: Apple Store,"Stop. You are at the Apple Store."
action: stop landmark: pharmacy,"Stop here. You have reached the pharmacy."
action: exit direction: left distance: 10 steps landmark: elevator,"Exit the elevator, turn left, and walk for 10 steps."
action: exit direction: right distance: 10 steps landmark: elevator,"Exit the elevator, turn right, and walk for 10 steps."
action: exit direction: straight distance: 8 steps landmark: elevator,"Exit the elevator and walk straight for 8 steps."
action: continue distance: 110 steps,"Continue straight for 110 steps."
action: continue distance: 40 steps,"Walk straight for 40 steps."
action: continue distance: 55 steps,"Continue straight for 55 steps."
action: continue distance: 75 steps,"Keep walking straight for 75 steps."
action: continue distance: 130 steps,"Continue straight for 130 steps."
action: stop landmark: Sephora,"Stop here. You have reached Sephora."
action: stop landmark: Nike,"Stop. You have arrived at Nike."
action: stop landmark: H&M,"Stop here. You have reached H&M."
action: stop landmark: Uniqlo,"Stop. You are at Uniqlo."
action: stop landmark: bookstore,"Stop here. You have reached the bookstore."
action: exit direction: straight distance: 12 steps landmark: elevator,"Exit the elevator and walk straight for 12 steps."
action: continue distance: 95 steps,"Continue straight for 95 steps."
action: continue distance: 85 steps,"Walk straight for 85 steps."
action: continue distance: 60 steps,"Continue straight for 60 steps."
action: continue distance: 200 steps,"Continue straight for a long distance, about 200 steps."
action: continue distance: 140 steps,"Keep walking straight for 140 steps."
action: stop landmark: Starbucks,"Stop here. You have reached Starbucks."
action: stop landmark: cinema,"Stop. You have arrived at the cinema."
action: stop landmark: game center,"Stop here. You have reached the game center."
action: stop landmark: jewelry store,"Stop. You are at the jewelry store."
action: stop landmark: bank,"Stop here. You have reached the bank."
action: exit direction: left distance: 5 steps landmark: elevator,"Exit the elevator, turn left, and walk for 5 steps."
action: exit direction: right distance: 5 steps landmark: elevator,"Exit the elevator, turn right, and walk for 5 steps."
action: continue distance: 35 steps,"Continue straight for 35 steps."
action: continue distance: 115 steps,"Walk straight for 115 steps."
action: continue distance: 125 steps,"Continue straight for 125 steps."
action: continue distance: 160 steps,"Keep walking straight for 160 steps."
action: continue distance: 180 steps,"Continue straight for 180 steps."
action: stop landmark: Lego Store,"Stop here. You have reached the Lego Store."
action: stop landmark: Dyson,"Stop. You are at Dyson."
action: stop landmark: Adidas,"Stop here. You have reached Adidas."
action: stop landmark: pet shop,"Stop. You have arrived at the pet shop."
action: continue distance: 10 steps landmark: escalator,"Walk straight for 10 steps to reach the escalator."
action: continue distance: 15 steps landmark: escalator,"Continue straight for 15 steps to the escalator."
action: continue distance: 20 steps landmark: escalator,"Go straight for 20 steps to reach the escalator."
action: continue distance: 25 steps landmark: escalator,"Walk forward for 25 steps toward the escalator."
action: continue distance: 30 steps landmark: escalator,"Continue forward for 30 steps to the escalator."
action: continue distance: 35 steps landmark: escalator,"Walk straight ahead for 35 steps to the escalator."
action: continue distance: 40 steps landmark: escalator,"Continue straight for 40 steps to reach the escalator."
action: continue distance: 45 steps landmark: escalator,"Walk 45 steps straight to the escalator."
action: continue distance: 50 steps landmark: escalator,"Continue straight for 50 steps until you reach the escalator."
action: continue distance: 5 steps landmark: escalator,"Walk forward for 5 steps to reach the escalator."
action: turn direction: left distance: 10 steps landmark: escalator,"Turn left and walk 10 steps to the escalator."
action: turn direction: left distance: 15 steps landmark: escalator,"Turn left and continue for 15 steps to reach the escalator."
action: turn direction: left distance: 20 steps landmark: escalator,"Make a left turn and walk 20 steps to the escalator."
action: turn direction: left distance: 25 steps landmark: escalator,"Turn left and walk straight for 25 steps to the escalator."
action: turn direction: left distance: 30 steps landmark: escalator,"Turn left and walk for 30 steps to reach the escalator."
action: turn direction: right distance: 10 steps landmark: escalator,"Turn right and walk 10 steps to the escalator."
action: turn direction: right distance: 15 steps landmark: escalator,"Turn right and walk for 15 steps to reach the escalator."
action: turn direction: right distance: 20 steps landmark: escalator,"Make a right turn and walk 20 steps to the escalator."
action: turn direction: right distance: 25 steps landmark: escalator,"Turn right and walk straight for 25 steps to the escalator."
action: turn direction: right distance: 30 steps landmark: escalator,"Turn right and walk for 30 steps to reach the escalator."
action: stop landmark: escalator,"Stop. You have reached the escalator."
action: stop landmark: escalator,"Stop. The escalator is directly in front of you."
action: stop landmark: escalator,"Stop here at the base of the escalator."
action: board direction: up landmark: escalator,"Step onto the escalator going up."
action: board direction: up landmark: escalator,"Board the ascending escalator."
action: board direction: up landmark: escalator,"Please step onto the up escalator."
action: board direction: up landmark: escalator,"Step forward onto the escalator going up."
action: board direction: up landmark: escalator,"Step onto the moving escalator to go up."
action: continue distance: 12 steps landmark: escalator,"Walk straight for 12 steps to reach the escalator."
action: continue distance: 18 steps landmark: escalator,"Continue forward for 18 steps to the escalator."
action: continue distance: 22 steps landmark: escalator,"Walk 22 steps straight ahead to the escalator."
action: continue distance: 28 steps landmark: escalator,"Continue straight for 28 steps to the escalator."
action: turn direction: left distance: 8 steps landmark: escalator,"Turn left and walk 8 steps to the escalator."
action: turn direction: right distance: 8 steps landmark: escalator,"Turn right and walk 8 steps to the escalator."
action: turn direction: left distance: 12 steps landmark: escalator,"Turn left and walk 12 steps to reach the escalator."
action: turn direction: right distance: 12 steps landmark: escalator,"Turn right and walk 12 steps to reach the escalator."
action: turn direction: left distance: 5 steps landmark: escalator,"Turn left and walk 5 steps to the escalator."
action: turn direction: right distance: 5 steps landmark: escalator,"Turn right and walk 5 steps to the escalator."
action: turn direction: left distance: 40 steps landmark: escalator,"Turn left and walk 40 steps to reach the escalator."
action: turn direction: right distance: 40 steps landmark: escalator,"Turn right and walk 40 steps to reach the escalator."
action: continue distance: 60 steps landmark: escalator,"Walk straight for 60 steps to reach the escalator."
action: continue distance: 7 steps landmark: escalator,"Walk forward for 7 steps to the escalator."
action: stop landmark: escalator,"Stop. The escalator entrance is in front of you."
action: board direction: up landmark: escalator,"Step up onto the escalator."
action: board direction: up landmark: escalator,"Move forward to board the up escalator."
action: turn direction: left distance: 18 steps landmark: escalator,"Turn left and walk 18 steps to the escalator."
action: turn direction: right distance: 18 steps landmark: escalator,"Turn right and walk 18 steps to the escalator."
action: turn direction: left distance: 22 steps landmark: escalator,"Turn left and walk 22 steps to the escalator."
action: turn direction: right distance: 22 steps landmark: escalator,"Turn right and walk 22 steps to the escalator."
action: continue distance: 14 steps landmark: escalator,"Walk forward 14 steps to the escalator."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once you exit the escalator, walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"After stepping off the escalator, walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and walk 20 steps forward."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and walk 20 steps forward."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and walk 20 steps forward."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once you exit the escalator, walk 20 steps forward."
action: exit direction: straight distance: 20 steps landmark: escalator,"After stepping off the escalator, walk 20 steps forward."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and take 20 steps straight ahead."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and take 20 steps straight ahead."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and take 20 steps straight ahead."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once you exit the escalator, take 20 steps straight ahead."
action: exit direction: straight distance: 20 steps landmark: escalator,"After stepping off the escalator, take 20 steps straight ahead."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and walk 20 steps straight."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and walk 20 steps straight."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and walk 20 steps straight."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once you exit the escalator, walk 20 steps straight."
action: exit direction: straight distance: 20 steps landmark: escalator,"After stepping off the escalator, walk 20 steps straight."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and proceed straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and proceed straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and proceed straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once you exit the escalator, proceed straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"After stepping off the escalator, proceed straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and walk forward for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and walk forward for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and walk forward for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Once off the escalator, walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"After the escalator, walk straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Step off the escalator and advance straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Exit the escalator and advance straight for 20 steps."
action: exit direction: straight distance: 20 steps landmark: escalator,"Get off the escalator and advance straight for 20 steps."
